timeframe,asset,version,rows,model_mae,model_rmse,model_mape,dir_acc,corr_r,naive_mae,naive_rmse,naive_mape,plot_file,sample_file
15m,BTC-USD,v1,482,180.3597536307052,244.97202438462827,0.002680510589786405,0.5020746887966805,0.038398307478176796,118.09593360995818,170.82458193162987,0.001755342365825227,plots\15m__BTC-USD__v1.png,sample_outputs\15m__BTC-USD__v1__sample.csv
15m,BTC-USD,v2,482,118.62718591694048,172.06457951473084,0.0017633158797797554,0.495850622406639,0.06072702242291713,118.09593360995818,170.82458193162987,0.001755342365825227,plots\15m__BTC-USD__v2.png,sample_outputs\15m__BTC-USD__v2__sample.csv
15m,BTC-USD,v3,482,119.6656741592327,172.70038867972005,0.0017788742737822247,0.5020746887966805,-0.019745944807308242,118.09593360995818,170.82458193162987,0.001755342365825227,plots\15m__BTC-USD__v3.png,sample_outputs\15m__BTC-USD__v3__sample.csv
15m,BTC-USD,v3a,482,118.00717513391291,170.65866906553043,0.0017541012032584935,0.508298755186722,0.04568099209745645,118.09593360995818,170.82458193162987,0.001755342365825227,plots\15m__BTC-USD__v3a.png,sample_outputs\15m__BTC-USD__v3a__sample.csv
15m,BTC-USD,v3b,482,118.79877420432528,171.67315378423766,0.0017658420351524718,0.5020746887966805,-0.0070406411096676025,118.09593360995818,170.82458193162987,0.001755342365825227,plots\15m__BTC-USD__v3b.png,sample_outputs\15m__BTC-USD__v3b__sample.csv
15m,BTC-USD,v4,481,103.56498704454596,152.7804979747057,0.0015111435046308622,0.5301455301455301,0.018231612696325065,98.45338877338887,144.86101792383417,0.001435944275876084,plots\15m__BTC-USD__v4.png,sample_outputs\15m__BTC-USD__v4__sample.csv
15m,ETH-USD,v1,482,7.50762774328968,10.235847624098225,0.003626335783375833,0.5062240663900415,0.031181001049617577,4.542655601659743,6.768475039242325,0.0021960492770703864,plots\15m__ETH-USD__v1.png,sample_outputs\15m__ETH-USD__v1__sample.csv
15m,ETH-USD,v2,482,4.575818698418957,6.753332086307215,0.0022120309409455665,0.516597510373444,0.07607325488487608,4.542655601659743,6.768475039242325,0.0021960492770703864,plots\15m__ETH-USD__v2.png,sample_outputs\15m__ETH-USD__v2__sample.csv
15m,ETH-USD,v3,482,4.551883388835029,6.794090609364324,0.0022005614738772415,0.504149377593361,-0.00816342956246219,4.542655601659743,6.768475039242325,0.0021960492770703864,plots\15m__ETH-USD__v3.png,sample_outputs\15m__ETH-USD__v3__sample.csv
15m,ETH-USD,v3a,482,4.54350631691544,6.779640288996563,0.0021965219348598426,0.5062240663900415,-0.026751842314557742,4.542655601659743,6.768475039242325,0.0021960492770703864,plots\15m__ETH-USD__v3a.png,sample_outputs\15m__ETH-USD__v3a__sample.csv
15m,ETH-USD,v3b,482,4.589270015278827,6.842869055949336,0.002218684502949296,0.491701244813278,-0.05884362054671447,4.542655601659743,6.768475039242325,0.0021960492770703864,plots\15m__ETH-USD__v3b.png,sample_outputs\15m__ETH-USD__v3b__sample.csv
15m,ETH-USD,v4,482,3.7501074082215733,5.597224973813226,0.0018148374125136193,0.4979253112033195,0.03198201311459876,3.5126970954356813,5.3079156812884705,0.0016974492250738144,plots\15m__ETH-USD__v4.png,sample_outputs\15m__ETH-USD__v4__sample.csv
15m,SOL-USD,v1,482,0.3208698098590265,0.43182238691390923,0.003927969421698117,0.4854771784232365,0.006855527749903348,0.20556016597510365,0.29139313393802546,0.002516804346792083,plots\15m__SOL-USD__v1.png,sample_outputs\15m__SOL-USD__v1__sample.csv
15m,SOL-USD,v2,482,0.20926308823568512,0.29838840255440185,0.0025633451131696077,0.491701244813278,-0.05284370804275271,0.20556016597510365,0.29139313393802546,0.002516804346792083,plots\15m__SOL-USD__v2.png,sample_outputs\15m__SOL-USD__v2__sample.csv
15m,SOL-USD,v3,482,0.20651002461158208,0.2929214333566525,0.0025282966773290502,0.5103734439834025,0.0010261904950657275,0.20556016597510365,0.29139313393802546,0.002516804346792083,plots\15m__SOL-USD__v3.png,sample_outputs\15m__SOL-USD__v3__sample.csv
15m,SOL-USD,v3a,482,0.20631324815626242,0.29294472732748733,0.002526377541416255,0.495850622406639,-0.014328217011910956,0.20556016597510365,0.29139313393802546,0.002516804346792083,plots\15m__SOL-USD__v3a.png,sample_outputs\15m__SOL-USD__v3a__sample.csv
15m,SOL-USD,v3b,482,0.20731638862693028,0.2939493345677453,0.0025379856045973015,0.529045643153527,-0.01572632836573969,0.20556016597510365,0.29139313393802546,0.002516804346792083,plots\15m__SOL-USD__v3b.png,sample_outputs\15m__SOL-USD__v3b__sample.csv
15m,SOL-USD,v4,482,0.1783145560815872,0.25522667686041217,0.002061762952807016,0.5311203319502075,0.022856371126211007,0.1680912863070545,0.24022378916266457,0.0019436908713909161,plots\15m__SOL-USD__v4.png,sample_outputs\15m__SOL-USD__v4__sample.csv
1h,BTC-USD,v1,120,430.6110364583327,563.2907905978792,0.006403109499779181,0.5333333333333333,-0.06884811528686682,305.2065833333334,399.85796146152535,0.004536141058240535,plots\1h__BTC-USD__v1.png,sample_outputs\1h__BTC-USD__v1__sample.csv
1h,BTC-USD,v2,120,299.65737868802137,396.9013428278896,0.004452841953878295,0.5666666666666667,0.14170123802405024,305.2065833333334,399.85796146152535,0.004536141058240535,plots\1h__BTC-USD__v2.png,sample_outputs\1h__BTC-USD__v2__sample.csv
1h,BTC-USD,v3,120,302.0738335787053,394.4850220430389,0.0044887874348782586,0.5583333333333333,0.2195275865588693,305.2065833333334,399.85796146152535,0.004536141058240535,plots\1h__BTC-USD__v3.png,sample_outputs\1h__BTC-USD__v3__sample.csv
1h,BTC-USD,v3a,120,304.50903927478635,396.9271243878314,0.004524923476825174,0.525,0.16711254751802418,305.2065833333334,399.85796146152535,0.004536141058240535,plots\1h__BTC-USD__v3a.png,sample_outputs\1h__BTC-USD__v3a__sample.csv
1h,BTC-USD,v3b,120,302.046363805491,396.3373906118932,0.004488115836272203,0.5916666666666667,0.14510886704057782,305.2065833333334,399.85796146152535,0.004536141058240535,plots\1h__BTC-USD__v3b.png,sample_outputs\1h__BTC-USD__v3b__sample.csv
1h,BTC-USD,v4,121,189.21864537256582,263.70376606848276,0.002767439218566741,0.49586776859504134,-0.06080419780686224,174.29520661157062,248.74615716455276,0.002545807863499539,plots\1h__BTC-USD__v4.png,sample_outputs\1h__BTC-USD__v4__sample.csv
1h,ETH-USD,v1,120,24.27939074707033,29.697299200308855,0.011790236934180263,0.5416666666666666,0.11641063439191797,12.391083333333338,16.79685895735668,0.00598874021943499,plots\1h__ETH-USD__v1.png,sample_outputs\1h__ETH-USD__v1__sample.csv
1h,ETH-USD,v2,120,12.361343392920881,16.856774463077308,0.005975411437508601,0.48333333333333334,0.02833009401228648,12.391083333333338,16.79685895735668,0.00598874021943499,plots\1h__ETH-USD__v2.png,sample_outputs\1h__ETH-USD__v2__sample.csv
1h,ETH-USD,v3,120,12.488991760238957,16.896539479528048,0.006033672504836231,0.45,-0.06226617104602746,12.391083333333338,16.79685895735668,0.00598874021943499,plots\1h__ETH-USD__v3.png,sample_outputs\1h__ETH-USD__v3__sample.csv
1h,ETH-USD,v3a,120,12.496208351075403,16.855885684285422,0.00603820887927112,0.4666666666666667,-0.03373442623630491,12.391083333333338,16.79685895735668,0.00598874021943499,plots\1h__ETH-USD__v3a.png,sample_outputs\1h__ETH-USD__v3a__sample.csv
1h,ETH-USD,v3b,120,12.506923994757019,16.92341346941237,0.006043101465893663,0.45,-0.029614217153366408,12.391083333333338,16.79685895735668,0.00598874021943499,plots\1h__ETH-USD__v3b.png,sample_outputs\1h__ETH-USD__v3b__sample.csv
1h,ETH-USD,v4,121,6.653662773001234,9.825034200930949,0.0032213242475780343,0.5371900826446281,0.10207480189018704,6.382561983471078,9.764228058929032,0.0030909657229136436,plots\1h__ETH-USD__v4.png,sample_outputs\1h__ETH-USD__v4__sample.csv
1h,SOL-USD,v1,120,1.3475276107788086,1.9315110136460523,0.016567069045866672,0.5083333333333333,-0.07134558520486838,0.5493333333333335,0.7526464420075781,0.006716048827177332,plots\1h__SOL-USD__v1.png,sample_outputs\1h__SOL-USD__v1__sample.csv
1h,SOL-USD,v2,120,0.5559118057117793,0.7526643133922768,0.0067983170636876315,0.45,0.03758315713013299,0.5493333333333335,0.7526464420075781,0.006716048827177332,plots\1h__SOL-USD__v2.png,sample_outputs\1h__SOL-USD__v2__sample.csv
1h,SOL-USD,v3,120,0.5582474714707611,0.7577115035021159,0.006822577700562582,0.44166666666666665,-0.03736201087160796,0.5493333333333335,0.7526464420075781,0.006716048827177332,plots\1h__SOL-USD__v3.png,sample_outputs\1h__SOL-USD__v3__sample.csv
1h,SOL-USD,v3a,120,0.5638518575022352,0.7614824174061271,0.006891824125163104,0.425,-0.08652191757665738,0.5493333333333335,0.7526464420075781,0.006716048827177332,plots\1h__SOL-USD__v3a.png,sample_outputs\1h__SOL-USD__v3a__sample.csv
1h,SOL-USD,v3b,120,0.5585538019678434,0.7604957797016104,0.006826934268568642,0.475,-0.07946694875753973,0.5493333333333335,0.7526464420075781,0.006716048827177332,plots\1h__SOL-USD__v3b.png,sample_outputs\1h__SOL-USD__v3b__sample.csv
1h,SOL-USD,v4,121,0.31735269187147813,0.4470821948984984,0.0036685530076141317,0.5454545454545454,0.06128274912199256,0.30644628099173493,0.4390523227916681,0.0035446463641201236,plots\1h__SOL-USD__v4.png,sample_outputs\1h__SOL-USD__v4__sample.csv
30m,BTC-USD,v1,241,382.44265949170097,487.8701935059047,0.005696526614110876,0.5228215767634855,0.1202155329531996,202.12103734439876,268.370188468292,0.0030034829672378333,plots\30m__BTC-USD__v1.png,sample_outputs\30m__BTC-USD__v1__sample.csv
30m,BTC-USD,v2,241,205.73472722139985,273.4659440819496,0.003057145299397141,0.4605809128630705,-0.12249725742188394,202.12103734439876,268.370188468292,0.0030034829672378333,plots\30m__BTC-USD__v2.png,sample_outputs\30m__BTC-USD__v2__sample.csv
30m,BTC-USD,v3,241,200.2917772235372,266.99363899402704,0.002976083766467759,0.5560165975103735,0.1186475192703034,202.12103734439876,268.370188468292,0.0030034829672378333,plots\30m__BTC-USD__v3.png,sample_outputs\30m__BTC-USD__v3__sample.csv
30m,BTC-USD,v3a,241,201.95517896572323,268.0602516454226,0.0030006704624667884,0.47717842323651455,0.07677720519867347,202.12103734439876,268.370188468292,0.0030034829672378333,plots\30m__BTC-USD__v3a.png,sample_outputs\30m__BTC-USD__v3a__sample.csv
30m,BTC-USD,v3b,241,201.81064501462185,268.15658714476234,0.002998854316043787,0.5186721991701245,0.0441424455265624,202.12103734439876,268.370188468292,0.0030034829672378333,plots\30m__BTC-USD__v3b.png,sample_outputs\30m__BTC-USD__v3b__sample.csv
30m,BTC-USD,v4,241,155.30853095762197,227.69209288129397,0.0022688301732356553,0.5020746887966805,-0.05030136836102244,138.37302904564373,200.55183801895288,0.0020183205939598202,plots\30m__BTC-USD__v4.png,sample_outputs\30m__BTC-USD__v4__sample.csv
30m,ETH-USD,v1,241,15.348597052483147,20.514750027498522,0.007423144647122878,0.5560165975103735,0.07970962031537702,7.976887966804969,10.68191691423667,0.003854623438420844,plots\30m__ETH-USD__v1.png,sample_outputs\30m__ETH-USD__v1__sample.csv
30m,ETH-USD,v2,241,8.120335339264615,10.945218080804642,0.003925241461514197,0.44813278008298757,-0.13900083206402145,7.976887966804969,10.68191691423667,0.003854623438420844,plots\30m__ETH-USD__v2.png,sample_outputs\30m__ETH-USD__v2__sample.csv
30m,ETH-USD,v3,241,7.982111160857341,10.724956586332427,0.003857734144869473,0.5352697095435685,-0.029017118993075703,7.976887966804969,10.68191691423667,0.003854623438420844,plots\30m__ETH-USD__v3.png,sample_outputs\30m__ETH-USD__v3__sample.csv
30m,ETH-USD,v3a,241,8.034845013669962,10.764894143324138,0.003882438888634481,0.43568464730290457,-0.09161600804057128,7.976887966804969,10.68191691423667,0.003854623438420844,plots\30m__ETH-USD__v3a.png,sample_outputs\30m__ETH-USD__v3a__sample.csv
30m,ETH-USD,v3b,241,8.055220728143139,10.813833715074255,0.003892740479486263,0.49377593360995853,-0.12767072214794406,7.976887966804969,10.68191691423667,0.003854623438420844,plots\30m__ETH-USD__v3b.png,sample_outputs\30m__ETH-USD__v3b__sample.csv
30m,ETH-USD,v4,241,4.925234990714932,7.4903850172673305,0.00238294849748031,0.5145228215767634,0.08338575725021027,4.863319502074674,7.3474340794502595,0.0023539992665069414,plots\30m__ETH-USD__v4.png,sample_outputs\30m__ETH-USD__v4__sample.csv
30m,SOL-USD,v1,241,0.7954525630206986,1.0590699144476314,0.009791987199064385,0.5269709543568465,0.049060786912858666,0.36568464730290456,0.4994150104843619,0.004475195283030994,plots\30m__SOL-USD__v1.png,sample_outputs\30m__SOL-USD__v1__sample.csv
30m,SOL-USD,v2,241,0.36475382486600255,0.5005519023066625,0.004462562603841478,0.4896265560165975,0.00682149435392205,0.36568464730290456,0.4994150104843619,0.004475195283030994,plots\30m__SOL-USD__v2.png,sample_outputs\30m__SOL-USD__v2__sample.csv
30m,SOL-USD,v3,241,0.36787617749499396,0.501995093274789,0.004501426708012808,0.45643153526970953,-0.028615519225687537,0.36568464730290456,0.4994150104843619,0.004475195283030994,plots\30m__SOL-USD__v3.png,sample_outputs\30m__SOL-USD__v3__sample.csv
30m,SOL-USD,v3a,241,0.36672117730466675,0.5004426424419213,0.004487742633732544,0.4979253112033195,-0.005373611398944664,0.36568464730290456,0.4994150104843619,0.004475195283030994,plots\30m__SOL-USD__v3a.png,sample_outputs\30m__SOL-USD__v3a__sample.csv
30m,SOL-USD,v3b,241,0.3667446270874713,0.5014808277994952,0.004487737140171387,0.43983402489626555,-0.03129631760101668,0.36568464730290456,0.4994150104843619,0.004475195283030994,plots\30m__SOL-USD__v3b.png,sample_outputs\30m__SOL-USD__v3b__sample.csv
30m,SOL-USD,v4,241,0.23988930823480956,0.34347660028163896,0.0027750715032919676,0.4979253112033195,-0.05863051317298072,0.22535269709543582,0.32184568865048424,0.002605719446957241,plots\30m__SOL-USD__v4.png,sample_outputs\30m__SOL-USD__v4__sample.csv
